VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore
31,2008-09,Light Goods Vehicle,Volkswagen,55
31,2009-10,Light Goods Vehicle,Volkswagen,80
95,2005-06,Heavy Goods Vehicle,DAF,50
111,2002-03,Light Goods Vehicle,Iveco,65
112,2004-05,Personnel Vehicle,Renault,100
113,2002-03,Heavy Goods Vehicle,Iveco,5
113,2006-07,Heavy Goods Vehicle,Iveco,30
115,2005-06,Heavy Goods Vehicle,DAF,70
116,2002-03,Heavy Goods Vehicle,DAF,30
116,2008-09,Heavy Goods Vehicle,DAF,65
118,2007-08,Light Goods Vehicle,Ford,40
119,2000-01,Personnel Vehicle,Ford,55
120,2001-02,Heavy Goods Vehicle,DAF,60
120,2003-04,Heavy Goods Vehicle,DAF,30
120,2009-10,Heavy Goods Vehicle,DAF,15
120,2011-12,Heavy Goods Vehicle,DAF,30
124,2000-01,Heavy Goods Vehicle,MAN,10
124,2007-08,Heavy Goods Vehicle,MAN,5
124,2011-12,Heavy Goods Vehicle,MAN,5
125,2004-05,Light Goods Vehicle,MAN,65
127,2007-08,Personnel Vehicle,MAN,70
128,2007-08,Light Goods Vehicle,Iveco,65
129,2001-02,Light Goods Vehicle,Iveco,70
129,2007-08,Light Goods Vehicle,Iveco,50
130,2004-05,Heavy Goods Vehicle,Renault,30
130,2010-11,Heavy Goods Vehicle,Renault,30
131,2003-04,Personnel Vehicle,Renault,80
132,2005-06,Light Goods Vehicle,Renault,50
134,2006-07,Light Goods Vehicle,Renault,50
136,2005-06,Heavy Goods Vehicle,DAF,65
136,2011-12,Heavy Goods Vehicle,DAF,50
137,2003-04,Light Goods Vehicle,DAF,50
137,2010-11,Light Goods Vehicle,DAF,65
139,2008-09,Personnel Vehicle,Ford,85
142,2001-02,Light Goods Vehicle,Renault,20
142,2006-07,Light Goods Vehicle,Renault,20
144,2002-03,Heavy Goods Vehicle,Iveco,10
146,2003-04,Heavy Goods Vehicle,Volkswagen,70
146,2011-12,Heavy Goods Vehicle,Volkswagen,50
147,2004-05,Light Goods Vehicle,Iveco,55
148,2002-03,Light Goods Vehicle,Renault,40
148,2010-11,Light Goods Vehicle,Renault,50
149,2011-12,Light Goods Vehicle,Renault,50
151,2005-06,Light Goods Vehicle,DAF,55
156,2008-09,Light Goods Vehicle,Ford,70
159,2005-06,Light Goods Vehicle,Iveco,20
160,2002-03,Light Goods Vehicle,Iveco,50
160,2006-07,Light Goods Vehicle,Iveco,20
161,2007-08,Heavy Goods Vehicle,MAN,65
163,2001-02,Light Goods Vehicle,Iveco,68
165,2007-08,Heavy Goods Vehicle,Volkswagen,40
167,2001-02,Light Goods Vehicle,Iveco,70
167,2007-08,Light Goods Vehicle,Iveco,65
168,2004-05,Light Goods Vehicle,Renault,20
172,2005-06,Light Goods Vehicle,Renault,10
172,2010-11,Light Goods Vehicle,Renault,30
173,2005-06,Light Goods Vehicle,Renault,55
174,2000-01,Light Goods Vehicle,Ford,20
178,2011-12,Heavy Goods Vehicle,Renault,90
187,2003-04,Light Goods Vehicle,DAF,50
187,2004-05,Light Goods Vehicle,DAF,70
187,2005-06,Light Goods Vehicle,DAF,65
187,2006-07,Light Goods Vehicle,DAF,70
187,2008-09,Light Goods Vehicle,DAF,70
187,2009-10,Light Goods Vehicle,DAF,70
232,2001-02,Light Goods Vehicle,MAN,10
232,2003-04,Light Goods Vehicle,MAN,70
232,2009-10,Light Goods Vehicle,MAN,20
274,2002-03,Light Goods Vehicle,DAF,40
274,2004-05,Light Goods Vehicle,DAF,75
274,2007-08,Light Goods Vehicle,DAF,55
274,2010-11,Light Goods Vehicle,DAF,70
280,2005-06,Light Goods Vehicle,DAF,40
290,2003-04,Personnel Vehicle,Iveco,80
291,2004-05,Personnel Vehicle,Renault,75
291,2010-11,Personnel Vehicle,Renault,80
293,2008-09,Heavy Goods Vehicle,Iveco,10
298,2001-02,Personnel Vehicle,Renault,70
299,2007-08,Light Goods Vehicle,Ford,70
300,2006-07,Heavy Goods Vehicle,Ford,50
303,2007-08,Light Goods Vehicle,Ford,20
304,2004-05,Heavy Goods Vehicle,Ford,60
305,2001-02,Light Goods Vehicle,Iveco,48
306,2004-05,Heavy Goods Vehicle,MAN,15
306,2010-11,Heavy Goods Vehicle,MAN,15
310,2003-04,Heavy Goods Vehicle,Renault,10
311,2005-06,Heavy Goods Vehicle,MAN,30
312,2001-02,Light Goods Vehicle,MAN,60
312,2008-09,Light Goods Vehicle,MAN,65
317,2006-07,Light Goods Vehicle,Renault,20
319,2005-06,Light Goods Vehicle,Renault,65
319,2011-12,Light Goods Vehicle,Renault,30
323,2006-07,Light Goods Vehicle,Ford,60
325,2006-07,Light Goods Vehicle,MAN,30
329,2004-05,Light Goods Vehicle,Iveco,48
331,2009-10,Light Goods Vehicle,Renault,0
333,2003-04,Personnel Vehicle,Volkswagen,60
334,2002-03,Light Goods Vehicle,MAN,50
334,2009-10,Light Goods Vehicle,MAN,65
336,2005-06,Heavy Goods Vehicle,Iveco,10
336,2011-12,Heavy Goods Vehicle,Iveco,60
337,2001-02,Light Goods Vehicle,Iveco,65
337,2007-08,Light Goods Vehicle,Iveco,45
342,2008-09,Heavy Goods Vehicle,Ford,65
343,2003-04,Heavy Goods Vehicle,DAF,50
343,2009-10,Heavy Goods Vehicle,DAF,10
346,2003-04,Heavy Goods Vehicle,Iveco,30
349,2004-05,Heavy Goods Vehicle,Iveco,65
349,2010-11,Heavy Goods Vehicle,Iveco,65
350,2004-05,Personnel Vehicle,Iveco,70
350,2011-12,Personnel Vehicle,Iveco,70
354,2002-03,Light Goods Vehicle,Iveco,20
355,2002-03,Light Goods Vehicle,MAN,55
356,2004-05,Light Goods Vehicle,MAN,48
357,2005-06,Personnel Vehicle,Volkswagen,50
358,2001-02,Light Goods Vehicle,Iveco,20
358,2004-05,Light Goods Vehicle,Iveco,20
360,2001-02,Light Goods Vehicle,Iveco,55
360,2007-08,Light Goods Vehicle,Iveco,55
361,2004-05,Light Goods Vehicle,Renault,70
361,2010-11,Light Goods Vehicle,Renault,70
363,2006-07,Personnel Vehicle,Renault,70
366,2004-05,Heavy Goods Vehicle,DAF,10
366,2009-10,Heavy Goods Vehicle,DAF,30
374,2002-03,Heavy Goods Vehicle,Volkswagen,70
374,2010-11,Heavy Goods Vehicle,Volkswagen,50
375,2001-02,Light Goods Vehicle,MAN,45
378,2006-07,Light Goods Vehicle,MAN,65
380,2004-05,Heavy Goods Vehicle,Iveco,50
380,2011-12,Heavy Goods Vehicle,Iveco,50
381,2003-04,Light Goods Vehicle,MAN,70
381,2009-10,Light Goods Vehicle,MAN,70
382,2006-07,Light Goods Vehicle,Iveco,50
383,2001-02,Heavy Goods Vehicle,Renault,15
383,2010-11,Heavy Goods Vehicle,Renault,10
384,2006-07,Heavy Goods Vehicle,Iveco,50
384,2011-12,Heavy Goods Vehicle,Iveco,75
385,2005-06,Light Goods Vehicle,Volkswagen,35
389,2004-05,Heavy Goods Vehicle,DAF,50
390,2003-04,Heavy Goods Vehicle,DAF,60
390,2011-12,Heavy Goods Vehicle,DAF,30
392,2007-08,Light Goods Vehicle,MAN,55
393,2008-09,Heavy Goods Vehicle,MAN,35
394,2002-03,Light Goods Vehicle,Iveco,35
394,2006-07,Light Goods Vehicle,Iveco,35
395,2007-08,Light Goods Vehicle,MAN,70
396,2002-03,Personnel Vehicle,Renault,85
396,2009-10,Personnel Vehicle,Renault,85
399,2003-04,Heavy Goods Vehicle,Volkswagen,70
399,2010-11,Heavy Goods Vehicle,Volkswagen,50
400,2000-01,Light Goods Vehicle,Volkswagen,65
400,2007-08,Light Goods Vehicle,Volkswagen,50
402,2001-02,Light Goods Vehicle,Iveco,50
404,2005-06,Light Goods Vehicle,DAF,60
404,2011-12,Light Goods Vehicle,DAF,60
411,2001-02,Light Goods Vehicle,Renault,20
411,2006-07,Light Goods Vehicle,Renault,40
414,2003-04,Heavy Goods Vehicle,Iveco,15
414,2007-08,Heavy Goods Vehicle,Iveco,30
415,2002-03,Heavy Goods Vehicle,MAN,75
415,2010-11,Heavy Goods Vehicle,MAN,30
417,2010-11,Heavy Goods Vehicle,Iveco,30
419,2004-05,Light Goods Vehicle,Renault,85
420,2005-06,Light Goods Vehicle,Renault,0
420,2011-12,Light Goods Vehicle,Renault,0
421,2005-06,Light Goods Vehicle,Renault,5
